Assembly,Village,Location_Type,Panchayat
CHILAKALURIPET,SATHULURU,V,Satuluru
CHILAKALURIPET,KANUPARRU,V,Kanaparru
CHILAKALURIPET,IRLAPADU,V,Irlapadu
CHILAKALURIPET,APPAPURAM,V,Appapuram
CHILAKALURIPET,AMMENSAHEBPALEM,V,Ameensahebpalem
CHILAKALURIPET,GANAPAVARAM,V,Ganapavaram
CHILAKALURIPET,ENDUGUMPALEM,V,Endugumpalem
CHILAKALURIPET,NADENDLA,V,Nadendla
CHILAKALURIPET,THUBADU,V,Tubadu
CHILAKALURIPET,CHANDAVARAM,V,Chandavaram
CHILAKALURIPET,BUKKAPURAM,V,Bukkapuram
CHILAKALURIPET,GORIJAVOLU,V,Gorijavolu
CHILAKALURIPET,SANKURATRIPADU,V,Sankuratripadu
CHILAKALURIPET,JANGALAPALLI,V,Jangalapalli
CHILAKALURIPET,CHIRUMAMILLA,V,Chirumamilla
CHILAKALURIPET,KOTTAPALEM,V,Kothapalem
CHILAKALURIPET,KONDAVEEDU,V,Kothapalem
CHILAKALURIPET,KOTA,V,Kota
CHILAKALURIPET,CHANGISKHANPET,V,Chengilkhanpet
CHILAKALURIPET,SOLASA,V,Solasa
CHILAKALURIPET,LINGARAOPALEM,V,Lingaraopalem
CHILAKALURIPET,MYDAVOLU,V,Mydavolu
CHILAKALURIPET,VANKAYALAPADU,V,Vankayalapadu
CHILAKALURIPET,UNNAVA,V,Unnava
CHILAKALURIPET,EDLAPADU,V,Edlapadu
CHILAKALURIPET,DINTENAPADU,V,Dintenapadu
CHILAKALURIPET,THIMMAPURAM,V,Thimmapuram
CHILAKALURIPET,JAGGAPURAM,V,Jaggapuram
CHILAKALURIPET,JALADI,V,Jaladi
CHILAKALURIPET,KARUCHOLA,V,Karuchola
CHILAKALURIPET,GUTTAVARIPALEM,V,Guttavaripalem
CHILAKALURIPET,THURLAPADU,V,Turlapadu
CHILAKALURIPET,SANDEPUDI,V,Sandepudi
CHILAKALURIPET,KUKKAPALLIVARIPALEM,V,Kukkapallivaripalem
CHILAKALURIPET,VELURU,V,Velluru
CHILAKALURIPET,MANUKONDAVARIPALEM,V,Dandamudi
CHILAKALURIPET,DANDAMUDI,V,Dandamudi
CHILAKALURIPET,GOTTIPADU,V,Gottipadu
CHILAKALURIPET,PASUMARRU,V,Pasumarru
CHILAKALURIPET,Chilakaluripet HO Purushotha Patnam TOWN,T,Yadavalli
CHILAKALURIPET,LINGAMGUNTLA,V,Podapadu
CHILAKALURIPET,KAVURU,V,Lingamguntla
CHILAKALURIPET,GANGANNAPALEM,V,Gangannapalem
CHILAKALURIPET,GOVINDAPURAM,V,Komatinenivaripalem
CHILAKALURIPET,KAMMARIPALEM,V,Kammavaripalem
CHILAKALURIPET,KATTUBADIVARIPALEM,V,Kattubadivaripalem
